month,region,sme_operation_index
3,东北,45.7
3,中南,47.8
3,华东,46.5
3,华北,48.9
3,西北,49.2
3,西南,46.7
4,东北,47.5
4,中南,47.5
4,华东,46.3
4,华北,49.2
4,西北,47.8
4,西南,46.5
5,东北,46.6
5,中南,47.8
5,华东,47.1
5,华北,48.5
5,西北,48.2
5,西南,46.5
6,东北,46.8
6,中南,48.4
6,华东,46.9
6,华北,46.9
6,西北,46.5
6,西南,47.1
7,东北,48.2
7,中南,47.2
7,华东,47.1
7,华北,45.7
7,西北,47.3
7,西南,47
8,东北,46.8
8,中南,47.4
8,华东,47
8,华北,46
8,西北,46
8,西南,46.2
9,东北,46.9
9,中南,47.8
9,华东,46.1
9,华北,46.4
9,西北,46.3
9,西南,45.5
10,东北,46.9
10,中南,47.9
10,华东,45.9
10,华北,45.7
10,西北,44.6
10,西南,45.5
11,东北,45.8
11,中南,47.8
11,华东,46.2
11,华北,45.8
11,西北,44.2
11,西南,45.2
12,东北,44.7
12,中南,48.7
12,华东,47.4
12,华北,45.6
12,西北,44.1
12,西南,46.2
