year,bank_loan_approval
2009,57.6
2009,57.2
2009,52
2009,49.9
2010,46.3
2010,40.8
2010,45.5
2010,42.9
2011,33.1
2011,33
2011,35.5
2011,38.5
2012,45.8
2012,47.8
2012,48.3
2012,47.5
2013,49.1
2013,48.7
2013,47.2
2013,46.9
2014,45.6
2014,43.1
2014,45.1
2014,44.8
2015,45.8
2015,47
2015,46.9
2015,47.8
2016,47.3
2016,47.3
2016,48
2016,47.6
2017,47.9
2017,46.1
2017,45.1
2017,46.4
2018,44.6
2018,44
2018,47.7
2018,49.8
2019,51.4
2019,51.5
2019,51.1
2019,50.6
2020,64.7
2020,60.8
2020,56.8
2020,53.6
2021,51
2021,49.8
2021,49.7
2021,51.6
2022,54.3
2022,58
2022,57.9
