province,phone_sum,phone_urban,phone_rural,phone_mobile
东部,14500.2,9863.8,4636.4,61702.2
北京,867.6,695.2,172.4,3373.8
天津,352.8,348.6,4.2,1323.2
河北,1152.4,840.1,312.3,6006.2
辽宁,1222.4,800.1,422.3,4583.6
上海,869.2,858.6,10.7,3200.7
江苏,2289.8,1275.9,1014,7942
浙江,1781.3,1051.9,729.5,7071.8
福建,983.5,609.7,373.8,4303.3
山东,1707.6,995.4,712.2,8333.4
广东,3099.9,2265.7,834.2,14706.1
海南,173.6,122.7,50.9,858.3
中部,6633.2,4516,2117.1,31450.8
山西,584.4,433.6,150.9,3105.5
吉林,579,439.3,139.7,2372.1
黑龙江,747.8,602,145.8,3020.4
安徽,976.7,603.8,372.9,3958.9
江西,622.4,395.9,226.6,2806.9
河南,1224.4,753.7,470.6,7200.2
湖北,984,662.9,321.1,4416.8
湖南,914.4,624.8,289.6,4570
西部,5565.2,4077,1488.2,29756.4
内蒙古自治区,377.2,317.7,59.5,2690.6
广西壮族自治区,546.3,354.7,191.6,3285.6
重庆,580.3,430.3,150,2380.8
四川,1313.7,926.4,387.3,6283.3
贵州,363,269.6,93.4,2662.6
云南,485.4,346.9,138.5,3395.8
西藏自治区,40.4,39.3,1.1,265.6
陕西,769.3,555,214.3,3512.5
甘肃,364.3,269.8,94.6,1976.2
青海,101.8,86.6,15.2,542.4
宁夏回族自治区,104.7,87,17.7,627.2
新疆维吾尔自治区,518.7,393.6,125.1,2133.9
